Subject_ID_D,endpoint,anchor_date_iso,table_name,feature_name,feature_family,feature_value,feature_status,window_rule,window_start_local,window_end_local,rows_in_window,device_ids_used,error_message
002,t2,2025-12-24,applications_foreground,app_foreground_event_count,app_use_intensity,,missing_no_availability_anchored_window,,,,0,,
002,t2,2025-12-24,applications_foreground,unique_foreground_apps,app_use_breadth,,missing_no_availability_anchored_window,,,,0,,
002,t2,2025-12-24,applications_foreground,app_use_diversity,app_use_breadth,,missing_no_availability_anchored_window,,,,0,,
002,t2,2025-12-24,battery,low_battery_event_count,battery_context,,missing_no_availability_anchored_window,,,,0,,
002,t2,2025-12-24,battery,charging_or_plugged_event_count,battery_context,,missing_no_availability_anchored_window,,,,0,,
002,t2,2025-12-24,bluetooth,unique_bluetooth_addresses,bluetooth_proximity_context,,missing_no_availability_anchored_window,,,,0,,
002,t2,2025-12-24,bluetooth,bluetooth_address_diversity_ratio,bluetooth_proximity_context,,missing_no_availability_anchored_window,,,,0,,
002,t2,2025-12-24,calls,call_event_count,call_communication_context,,missing_no_availability_anchored_window,,,,0,,
002,t2,2025-12-24,calls,incoming_call_count,call_direction_context,,missing_no_availability_anchored_window,,,,0,,
002,t2,2025-12-24,calls,outgoing_call_count,call_direction_context,,missing_no_availability_anchored_window,,,,0,,
002,t2,2025-12-24,calls,missed_rejected_blocked_call_count,call_unanswered_context,,missing_no_availability_anchored_window,,,,0,,
002,t2,2025-12-24,calls,total_call_duration_seconds,call_duration_context,,missing_no_availability_anchored_window,,,,0,,
002,t2,2025-12-24,gsm,unique_gsm_cell_count,gsm_cell_context,,missing_no_availability_anchored_window,,,,0,,
002,t2,2025-12-24,gsm,unique_gsm_lac_count,gsm_cell_context,,missing_no_availability_anchored_window,,,,0,,
002,t2,2025-12-24,gsm,gsm_cell_transition_count,gsm_cell_context,,missing_no_availability_anchored_window,,,,0,,
002,t2,2025-12-24,keyboard,keyboard_median_inter_event_interval_ms,keyboard_typing_dynamics,,missing_no_availability_anchored_window,,,,0,,
002,t2,2025-12-24,keyboard,keyboard_inter_event_interval_iqr_ms,keyboard_typing_dynamics,,missing_no_availability_anchored_window,,,,0,,
002,t2,2025-12-24,keyboard,keyboard_long_pause_count_2s,keyboard_typing_pause,,missing_no_availability_anchored_window,,,,0,,
002,t2,2025-12-24,keyboard,keyboard_typing_burst_count,keyboard_typing_burst,,missing_no_availability_anchored_window,,,,0,,
002,t2,2025-12-24,keyboard,keyboard_median_word_completion_time_ms,keyboard_word_timing,,missing_no_availability_anchored_window,,,,0,,
002,t2,2025-12-24,keyboard,keyboard_deletion_event_count,keyboard_correction_behavior,,missing_no_availability_anchored_window,,,,0,,
002,t2,2025-12-24,locations,location_distinct_observation_count,location_data_coverage,,missing_no_availability_anchored_window,,,,0,,
002,t2,2025-12-24,locations,location_total_distance_km,location_mobility_extent,,missing_no_availability_anchored_window,,,,0,,
002,t2,2025-12-24,messages,message_distinct_event_count,message_communication_context,,missing_no_availability_anchored_window,,,,0,,
002,t2,2025-12-24,messages,outgoing_message_count,message_communication_context,,missing_no_availability_anchored_window,,,,0,,
002,t2,2025-12-24,plugin_google_activity_recognition,activity_transition_count,activity_context_variability,,missing_no_availability_anchored_window,,,,0,,
002,t2,2025-12-24,plugin_google_activity_recognition,activity_still_fraction,activity_context_state,,missing_no_availability_anchored_window,,,,0,,
002,t2,2025-12-24,plugin_google_activity_recognition,activity_active_hour_count,activity_context_temporal_spread,,missing_no_availability_anchored_window,,,,0,,
002,t2,2025-12-24,plugin_google_activity_recognition,activity_unknown_fraction,activity_context_quality,,missing_no_availability_anchored_window,,,,0,,
002,t2,2025-12-24,plugin_google_activity_recognition,activity_state_diversity,activity_context_breadth,,missing_no_availability_anchored_window,,,,0,,
002,t2,2025-12-24,screen,screen_event_count,screen_interaction_context,,missing_no_availability_anchored_window,,,,0,,
