feature_scope,source_table,feature_name,feature_family,window_class,missing_percent,primary_model_recommendation
t1_week_all_available,screen,screen_active_hour_count,screen_temporal_spread,t1_week_first_valid_24h,16.0,include_primary
t1_week_all_available,screen,screen_event_count,screen_interaction_context,t1_week_first_valid_24h,16.0,include_primary
t1_week_all_available,screen,screen_off_event_count,screen_interaction_context,t1_week_first_valid_24h,16.0,include_primary
t1_week_all_available,screen,screen_on_event_count,screen_interaction_context,t1_week_first_valid_24h,16.0,include_primary
t1_week_all_available,screen,screen_transition_count,screen_interaction_variability,t1_week_first_valid_24h,16.0,include_primary
t1_week_all_available,screen,screen_unlock_event_count,screen_interaction_context,t1_week_first_valid_24h,16.0,include_primary
t1_week_all_available,telephony,telephony_event_count,telephony_connectivity_context,t1_week_first_valid_24h,17.3,include_primary
t1_week_all_available,telephony,telephony_mobile_data_enabled_fraction,telephony_connectivity_context,t1_week_first_valid_24h,17.3,include_primary
t1_week_all_available,telephony,telephony_network_type_diversity,telephony_network_context,t1_week_first_valid_24h,17.3,include_primary
t1_week_all_available,touch,touch_active_hour_count,touch_temporal_spread,t1_week_first_valid_24h,24.7,include_primary
t1_week_all_available,touch,touch_app_diversity,touch_app_context,t1_week_first_valid_24h,24.7,include_primary
t1_week_all_available,touch,touch_click_event_count,touch_action_profile,t1_week_first_valid_24h,24.7,include_primary
t1_week_all_available,touch,touch_distinct_event_count,touch_interaction_volume,t1_week_first_valid_24h,24.7,include_primary
t1_week_all_available,touch,touch_scroll_direction_change_count,touch_interaction_variability,t1_week_first_valid_24h,29.6,include_primary
t1_week_all_available,touch,touch_scroll_event_count,touch_action_profile,t1_week_first_valid_24h,24.7,include_primary
t1_week_all_available,touch,touch_scroll_index_change_median,touch_scroll_intensity,t1_week_first_valid_24h,29.6,include_primary
t1_week_all_available,touch,touch_unique_app_count,touch_app_context,t1_week_first_valid_24h,24.7,include_primary
primary_plus_adjusted,applications_foreground,app_foreground_event_count,app_use_intensity,t1_week_first_valid_24h,22.2,include_primary
primary_plus_adjusted,applications_foreground,app_use_diversity,app_use_breadth,t1_week_first_valid_24h,22.2,include_primary
primary_plus_adjusted,applications_foreground,unique_foreground_apps,app_use_breadth,t1_week_first_valid_24h,22.2,include_primary
primary_plus_adjusted,gsm,gsm_cell_transition_count,gsm_cell_context,t1_week_first_valid_24h,17.3,include_primary
primary_plus_adjusted,gsm,unique_gsm_cell_count,gsm_cell_context,t1_week_first_valid_24h,17.3,include_primary
primary_plus_adjusted,gsm,unique_gsm_lac_count,gsm_cell_context,t1_week_first_valid_24h,17.3,include_primary
primary_plus_adjusted,keyboard,keyboard_deletion_event_count,keyboard_correction_behavior,t1_week_first_valid_24h,35.8,include_primary
primary_plus_adjusted,keyboard,keyboard_inter_event_interval_iqr_ms,keyboard_typing_dynamics,t1_week_first_valid_24h,35.8,include_primary
primary_plus_adjusted,keyboard,keyboard_long_pause_count_2s,keyboard_typing_pause,t1_week_first_valid_24h,35.8,include_primary
primary_plus_adjusted,keyboard,keyboard_median_inter_event_interval_ms,keyboard_typing_dynamics,t1_week_first_valid_24h,35.8,include_primary
primary_plus_adjusted,keyboard,keyboard_typing_burst_count,keyboard_typing_burst,t1_week_first_valid_24h,35.8,include_primary
primary_plus_adjusted,messages,message_distinct_event_count,message_communication_context,t1_week_first_valid_24h,33.3,include_primary
primary_plus_adjusted,messages,outgoing_message_count,message_communication_context,t1_week_first_valid_24h,33.3,include_primary
primary_plus_adjusted,plugin_google_activity_recognition,activity_active_hour_count,activity_context_temporal_spread,t1_week_first_valid_24h,17.3,include_primary
primary_plus_adjusted,plugin_google_activity_recognition,activity_state_diversity,activity_context_breadth,t1_week_first_valid_24h,17.3,include_primary
primary_plus_adjusted,plugin_google_activity_recognition,activity_still_fraction,activity_context_state,t1_week_first_valid_24h,17.3,include_primary
primary_plus_adjusted,plugin_google_activity_recognition,activity_transition_count,activity_context_variability,t1_week_first_valid_24h,17.3,include_primary
primary_plus_adjusted,plugin_google_activity_recognition,activity_unknown_fraction,activity_context_quality,t1_week_first_valid_24h,17.3,include_primary
primary_plus_adjusted,screen,median_unlocked_session_duration_seconds,screen_session_duration,t1_week_first_valid_24h,25.9,include_primary
primary_plus_adjusted,screen,night_screen_event_count,screen_nighttime_context,t1_week_first_valid_24h,16.0,include_primary
primary_plus_adjusted,screen,screen_active_hour_count,screen_temporal_spread,t1_week_first_valid_24h,16.0,include_primary
primary_plus_adjusted,screen,screen_event_count,screen_interaction_context,t1_week_first_valid_24h,16.0,include_primary
primary_plus_adjusted,screen,screen_off_event_count,screen_interaction_context,t1_week_first_valid_24h,16.0,include_primary
primary_plus_adjusted,screen,screen_on_event_count,screen_interaction_context,t1_week_first_valid_24h,16.0,include_primary
primary_plus_adjusted,screen,screen_transition_count,screen_interaction_variability,t1_week_first_valid_24h,16.0,include_primary
primary_plus_adjusted,screen,screen_unlock_event_count,screen_interaction_context,t1_week_first_valid_24h,16.0,include_primary
primary_plus_adjusted,telephony,telephony_event_count,telephony_connectivity_context,t1_week_first_valid_24h,17.3,include_primary
primary_plus_adjusted,telephony,telephony_mobile_data_enabled_fraction,telephony_connectivity_context,t1_week_first_valid_24h,17.3,include_primary
primary_plus_adjusted,telephony,telephony_network_type_diversity,telephony_network_context,t1_week_first_valid_24h,17.3,include_primary
primary_plus_adjusted,touch,touch_active_hour_count,touch_temporal_spread,t1_week_first_valid_24h,24.7,include_primary
primary_plus_adjusted,touch,touch_app_diversity,touch_app_context,t1_week_first_valid_24h,24.7,include_primary
primary_plus_adjusted,touch,touch_click_event_count,touch_action_profile,t1_week_first_valid_24h,24.7,include_primary
primary_plus_adjusted,touch,touch_distinct_event_count,touch_interaction_volume,t1_week_first_valid_24h,24.7,include_primary
primary_plus_adjusted,touch,touch_scroll_direction_change_count,touch_interaction_variability,t1_week_first_valid_24h,29.6,include_primary
primary_plus_adjusted,touch,touch_scroll_event_count,touch_action_profile,t1_week_first_valid_24h,24.7,include_primary
primary_plus_adjusted,touch,touch_scroll_index_change_median,touch_scroll_intensity,t1_week_first_valid_24h,29.6,include_primary
primary_plus_adjusted,touch,touch_unique_app_count,touch_app_context,t1_week_first_valid_24h,24.7,include_primary
primary_plus_adjusted,barometer,barometer_downward_transition_count,barometer_vertical_transition,adjusted_first_available_7d,98.8,adjusted_sensitivity
primary_plus_adjusted,barometer,barometer_estimated_elevation_change_m,barometer_vertical_transition,adjusted_first_available_7d,98.8,adjusted_sensitivity
primary_plus_adjusted,barometer,barometer_large_vertical_shift_count,barometer_vertical_transition,adjusted_first_available_7d,98.8,adjusted_sensitivity
primary_plus_adjusted,barometer,barometer_pressure_range,barometer_vertical_context,adjusted_first_available_7d,98.8,adjusted_sensitivity
primary_plus_adjusted,barometer,barometer_pressure_sd,barometer_vertical_context,adjusted_first_available_7d,98.8,adjusted_sensitivity
primary_plus_adjusted,barometer,barometer_upward_transition_count,barometer_vertical_transition,adjusted_first_available_7d,98.8,adjusted_sensitivity
primary_plus_adjusted,sensor_linear_accelerometer,sensor_linear_accelerometer_active_hour_count,sensor_linear_accelerometer_metadata_coverage,adjusted_first_available_7d,61.7,adjusted_sensitivity
primary_plus_adjusted,sensor_linear_accelerometer,sensor_linear_accelerometer_event_count,sensor_linear_accelerometer_metadata_coverage,adjusted_first_available_7d,61.7,adjusted_sensitivity
primary_plus_adjusted,sensor_linear_accelerometer,sensor_linear_accelerometer_maximum_range,sensor_hardware_context,adjusted_first_available_7d,61.7,adjusted_sensitivity
primary_plus_adjusted,sensor_linear_accelerometer,sensor_linear_accelerometer_power_ma,sensor_hardware_context,adjusted_first_available_7d,61.7,adjusted_sensitivity
primary_plus_adjusted,sensor_linear_accelerometer,sensor_linear_accelerometer_resolution,sensor_hardware_context,adjusted_first_available_7d,61.7,adjusted_sensitivity
primary_plus_adjusted,significant,significant_active_hour_count,significant_temporal_spread,adjusted_first_available_7d,40.7,adjusted_sensitivity
primary_plus_adjusted,significant,significant_motion_transition_count,significant_motion_variability,adjusted_first_available_7d,40.7,adjusted_sensitivity
primary_plus_adjusted,significant,significant_moving_event_count,significant_motion_context,adjusted_first_available_7d,40.7,adjusted_sensitivity
primary_plus_adjusted,significant,significant_moving_fraction,significant_motion_context,adjusted_first_available_7d,40.7,adjusted_sensitivity
all_available,applications_foreground,app_foreground_event_count,app_use_intensity,t1_week_first_valid_24h,22.2,include_primary
all_available,applications_foreground,app_use_diversity,app_use_breadth,t1_week_first_valid_24h,22.2,include_primary
all_available,applications_foreground,unique_foreground_apps,app_use_breadth,t1_week_first_valid_24h,22.2,include_primary
all_available,bluetooth,bluetooth_address_diversity_ratio,bluetooth_proximity_context,t1_week_first_valid_24h,98.8,coverage_sensitivity
all_available,bluetooth,unique_bluetooth_addresses,bluetooth_proximity_context,t1_week_first_valid_24h,98.8,coverage_sensitivity
all_available,calls,call_event_count,call_communication_context,t1_week_first_valid_24h,92.6,coverage_sensitivity
all_available,calls,incoming_call_count,call_direction_context,t1_week_first_valid_24h,92.6,coverage_sensitivity
all_available,calls,missed_rejected_blocked_call_count,call_unanswered_context,t1_week_first_valid_24h,92.6,coverage_sensitivity
all_available,calls,outgoing_call_count,call_direction_context,t1_week_first_valid_24h,92.6,coverage_sensitivity
all_available,calls,total_call_duration_seconds,call_duration_context,t1_week_first_valid_24h,92.6,coverage_sensitivity
all_available,gsm,gsm_cell_transition_count,gsm_cell_context,t1_week_first_valid_24h,17.3,include_primary
all_available,gsm,unique_gsm_cell_count,gsm_cell_context,t1_week_first_valid_24h,17.3,include_primary
all_available,gsm,unique_gsm_lac_count,gsm_cell_context,t1_week_first_valid_24h,17.3,include_primary
all_available,gsm_neighbor,gsm_neighbor_cell_transition_count,gsm_neighbor_cell_context,t1_week_first_valid_24h,51.9,coverage_sensitivity
all_available,gsm_neighbor,unique_gsm_neighbor_cell_count,gsm_neighbor_cell_context,t1_week_first_valid_24h,51.9,coverage_sensitivity
all_available,gsm_neighbor,unique_gsm_neighbor_lac_count,gsm_neighbor_cell_context,t1_week_first_valid_24h,51.9,coverage_sensitivity
all_available,keyboard,keyboard_deletion_event_count,keyboard_correction_behavior,t1_week_first_valid_24h,35.8,include_primary
all_available,keyboard,keyboard_inter_event_interval_iqr_ms,keyboard_typing_dynamics,t1_week_first_valid_24h,35.8,include_primary
all_available,keyboard,keyboard_long_pause_count_2s,keyboard_typing_pause,t1_week_first_valid_24h,35.8,include_primary
all_available,keyboard,keyboard_median_inter_event_interval_ms,keyboard_typing_dynamics,t1_week_first_valid_24h,35.8,include_primary
all_available,keyboard,keyboard_median_word_completion_time_ms,keyboard_word_timing,t1_week_first_valid_24h,64.2,coverage_sensitivity
all_available,keyboard,keyboard_typing_burst_count,keyboard_typing_burst,t1_week_first_valid_24h,35.8,include_primary
all_available,light,light_lux_iqr,light_environment_variability,t1_week_first_valid_24h,61.7,coverage_sensitivity
all_available,light,median_light_lux,light_environment_context,t1_week_first_valid_24h,61.7,coverage_sensitivity
all_available,light,night_mean_light_lux,light_circadian_context,t1_week_first_valid_24h,88.9,coverage_sensitivity
all_available,light,percent_dark_samples,light_circadian_context,t1_week_first_valid_24h,61.7,coverage_sensitivity
all_available,locations,location_distinct_observation_count,location_data_coverage,t1_week_first_valid_24h,98.8,coverage_sensitivity
all_available,locations,location_total_distance_km,location_mobility_extent,t1_week_first_valid_24h,98.8,coverage_sensitivity
all_available,messages,message_distinct_event_count,message_communication_context,t1_week_first_valid_24h,33.3,include_primary
all_available,messages,outgoing_message_count,message_communication_context,t1_week_first_valid_24h,33.3,include_primary
all_available,plugin_google_activity_recognition,activity_active_hour_count,activity_context_temporal_spread,t1_week_first_valid_24h,17.3,include_primary
all_available,plugin_google_activity_recognition,activity_state_diversity,activity_context_breadth,t1_week_first_valid_24h,17.3,include_primary
all_available,plugin_google_activity_recognition,activity_still_fraction,activity_context_state,t1_week_first_valid_24h,17.3,include_primary
all_available,plugin_google_activity_recognition,activity_transition_count,activity_context_variability,t1_week_first_valid_24h,17.3,include_primary
all_available,plugin_google_activity_recognition,activity_unknown_fraction,activity_context_quality,t1_week_first_valid_24h,17.3,include_primary
all_available,screen,median_unlocked_session_duration_seconds,screen_session_duration,t1_week_first_valid_24h,25.9,include_primary
all_available,screen,night_screen_event_count,screen_nighttime_context,t1_week_first_valid_24h,16.0,include_primary
all_available,screen,screen_active_hour_count,screen_temporal_spread,t1_week_first_valid_24h,16.0,include_primary
all_available,screen,screen_event_count,screen_interaction_context,t1_week_first_valid_24h,16.0,include_primary
all_available,screen,screen_off_event_count,screen_interaction_context,t1_week_first_valid_24h,16.0,include_primary
all_available,screen,screen_on_event_count,screen_interaction_context,t1_week_first_valid_24h,16.0,include_primary
all_available,screen,screen_transition_count,screen_interaction_variability,t1_week_first_valid_24h,16.0,include_primary
all_available,screen,screen_unlock_event_count,screen_interaction_context,t1_week_first_valid_24h,16.0,include_primary
all_available,telephony,telephony_event_count,telephony_connectivity_context,t1_week_first_valid_24h,17.3,include_primary
all_available,telephony,telephony_mobile_data_enabled_fraction,telephony_connectivity_context,t1_week_first_valid_24h,17.3,include_primary
all_available,telephony,telephony_network_type_diversity,telephony_network_context,t1_week_first_valid_24h,17.3,include_primary
all_available,touch,touch_active_hour_count,touch_temporal_spread,t1_week_first_valid_24h,24.7,include_primary
